year,emissions
1751,9350528
1752,18704720
1753,28058912
1754,37416768
1755,46778288
1756,56784672
1757,66794720
1758,76808432
1759,86825808
1760,96843184
1761,107816864
1762,118794208
1763,129775216
1764,140759888
1765,151748224
1766,164007968
1767,176271376
1768,188538448
1769,200809184
1770,213083584
1771,226695344
1772,240310768
1773,253929856
1774,267552608
1775,281179024
1776,296216080
1777,311256800
1778,326301184
1779,341349232
1780,356404608
1781,373248016
1782,390095088
1783,406949488
1784,423807552
1785,440676608
1786,459828336
1787,478987392
1788,498150112
1789,517320160
1790,536497536
1791,557917280
1792,579813344
1793,601727728
1794,623609136
1795,645501536
1796,668452832
1797,692547296
1798,717642032
1799,744070464
1800,772162352
1801,800122336
1802,836905232
1803,868393648
1804,902703344
1805,936122688
1806,971168848
1807,1008043344
1808,1043107824
1809,1078197952
1810,1115578080
1811,1155160272
1812,1196167760
1813,1237387760
1814,1279516432
1815,1323004448
1816,1370669424
1817,1420100448
1818,1469743984
1819,1519691632
1820,1570379408
1821,1621814640
1822,1675279728
1823,1731829904
1824,1790354976
1825,1851111424
1826,1912531056
1827,1978446416
1828,2045083584
1829,2111478928
1830,2200602064
1831,2285130544
1832,2370241600
1833,2457049088
1834,2545534688
1835,2635980528
1836,2740756272
1837,2845447744
1838,2953491776
1839,3065104544
1840,3184034320
1841,3306653744
1842,3436157824
1843,3569010800
1844,3710433872
1845,3865644576
1846,4023438400
1847,4195840592
1848,4369657088
1849,4553168528
1850,4750064560
1851,4948807248
1852,5156303232
1853,5373402560
1854,5628413296
1855,5888447376
1856,6165555696
1857,6445236144
1858,6729203472
1859,7030204736
1860,7360913712
1861,7708700592
1862,8062815200
1863,8440738480
1864,8847889488
1865,9280256144
1866,9726293184
1867,10204108096
1868,10694860592
1869,11215991312
1870,11748528064
1871,12314671024
1872,12941042816
1873,13606461856
1874,14229459104
1875,14905258256
1876,15590810976
1877,16289909504
1878,16994474720
1879,17749511536
1880,18603403072
1881,19485991056
1882,20418119984
1883,21409393200
1884,22411823296
1885,23421731616
1886,24447461088
1887,25524504880
1888,26717089248
1889,27909244928
1890,29208099952
1891,30567399984
1892,31937941168
1893,33292078624
1894,34693452368
1895,36179372912
1896,37713779168
1897,39320824224
1898,41015933520
1899,42867759424
1900,44821067136
1901,46839037120
1902,48908134560
1903,51165404048
1904,53446628768
1905,55875296512
1906,58426162320
1907,61310822192
1908,64086525696
1909,66971819440
1910,69997836432
1911,73079073568
1912,76305793488
1913,79797156800
1914,82965234400
1915,86090391904
1916,89462715520
1917,92991092560
1918,96471778976
1919,99488419792
1920,1.03E+11
1921,1.06E+11
1922,1.09E+11
1923,1.13E+11
1924,1.17E+11
1925,1.2E+11
1926,1.24E+11
1927,1.28E+11
1928,1.32E+11
1929,1.36E+11
1930,1.4E+11
1931,1.44E+11
1932,1.47E+11
1933,1.5E+11
1934,1.54E+11
1935,1.58E+11
1936,1.62E+11
1937,1.67E+11
1938,1.71E+11
1939,1.75E+11
1940,1.8E+11
1941,1.85E+11
1942,1.9E+11
1943,1.96E+11
1944,2.01E+11
1945,2.05E+11
1946,2.1E+11
1947,2.15E+11
1948,2.21E+11
1949,2.26E+11
1950,2.32E+11
1951,2.38E+11
1952,2.44E+11
1953,2.51E+11
1954,2.57E+11
1955,2.64E+11
1956,2.72E+11
1957,2.8E+11
1958,2.88E+11
1959,2.97E+11
1960,3.07E+11
1961,3.16E+11
1962,3.26E+11
1963,3.36E+11
1964,3.47E+11
1965,3.59E+11
1966,3.71E+11
1967,3.83E+11
1968,3.96E+11
1969,4.1E+11
1970,4.25E+11
1971,4.4E+11
1972,4.57E+11
1973,4.73E+11
1974,4.9E+11
1975,5.07E+11
1976,5.25E+11
1977,5.43E+11
1978,5.62E+11
1979,5.81E+11
1980,6.01E+11
1981,6.2E+11
1982,6.38E+11
1983,6.57E+11
1984,6.76E+11
1985,6.96E+11
1986,7.16E+11
1987,7.37E+11
1988,7.59E+11
1989,7.81E+11
1990,8.03E+11
1991,8.26E+11
1992,8.48E+11
1993,8.7E+11
1994,8.92E+11
1995,9.15E+11
1996,9.39E+11
1997,9.63E+11
1998,9.87E+11
1999,1.01E+12
2000,1.04E+12
2001,1.06E+12
2002,1.09E+12
2003,1.11E+12
2004,1.14E+12
2005,1.17E+12
2006,1.2E+12
2007,1.23E+12
2008,1.26E+12
2009,1.29E+12
2010,1.33E+12
2011,1.36E+12
2012,1.4E+12
2013,1.43E+12
2014,1.47E+12
2015,1.5E+12
2016,1.54E+12
2017,1.58E+12
